id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
6011806,厨子戏子痞子,,https://dou.img.lithub.cc/movie/6011806.jpg,2013-03-29(中国大陆),https://movie.douban.com/subject/6011806/,7.2,"喜剧,动作",,,,2019-10-09 07:10:11,2013 / 中国大陆 / 喜剧 动作 / 管虎 / 刘烨 张涵予
10807916,白发魔女传之明月天国,,https://dou.img.lithub.cc/movie/10807916.jpg,2014-07-31(中国大陆),https://movie.douban.com/subject/10807916/,3.8,"动作,爱情,奇幻",,,,2019-10-09 07:09:09,2014 / 中国大陆 / 动作 爱情 奇幻 武侠 古装 / 张之亮 / 范冰冰 黄晓明
25713408,一生一世,,https://dou.img.lithub.cc/movie/25713408.jpg,2014-09-05(中国大陆),https://movie.douban.com/subject/25713408/,5.3,爱情,,,,2019-10-09 07:08:51,2014 / 中国大陆 中国香港 / 爱情 / 邹佡 / 谢霆锋 高圆圆
5323968,环太平洋,,https://dou.img.lithub.cc/movie/5323968.jpg,2013-07-31(中国大陆),https://movie.douban.com/subject/5323968/,7.8,"动作,科幻,冒险",,,,2019-10-09 07:07:28,2013 / 美国 / 动作 科幻 冒险 / 吉尔莫·德尔·托罗 / 查理·汉纳姆 菊地凛子
24843198,同桌的妳,,https://dou.img.lithub.cc/movie/24843198.jpg,2014-04-25(中国大陆),https://movie.douban.com/subject/24843198/,6,"剧情,爱情",,,,2019-10-09 07:07:24,2014 / 中国大陆 / 剧情 爱情 / 郭帆 / 周冬雨 林更新
25755645,老男孩猛龙过江,,https://dou.img.lithub.cc/movie/25755645.jpg,2014-07-10(中国大陆),https://movie.douban.com/subject/25755645/,5.8,"剧情,喜剧",,,,2019-10-09 07:06:46,2014 / 中国大陆 / 剧情 喜剧 / 肖央 / 肖央 王太利
10827341,疯狂外星人,,https://dou.img.lithub.cc/movie/10827341.jpg,2015-04-24(中国大陆),https://movie.douban.com/subject/10827341/,7.4,"喜剧,科幻,动画",,,,2019-10-09 07:06:33,2015 / 美国 / 喜剧 科幻 动画 冒险 / 提姆·约翰森 / 吉姆·帕森斯 蕾哈娜
1866479,复仇者联盟,,https://dou.img.lithub.cc/movie/1866479.jpg,2012-05-05(中国大陆),https://movie.douban.com/subject/1866479/,8.3,"动作,科幻,奇幻",,,,2019-10-09 07:06:04,2012 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·埃文斯
4881607,撒娇女人最好命,,https://dou.img.lithub.cc/movie/4881607.jpg,2014-11-28(中国大陆),https://movie.douban.com/subject/4881607/,5.6,"喜剧,爱情",,,,2019-10-09 07:05:51,2014 / 中国大陆 中国香港 / 喜剧 爱情 / 彭浩翔 / 周迅 黄晓明
3993588,狼图腾,,https://dou.img.lithub.cc/movie/3993588.jpg,2015-02-19(中国大陆),https://movie.douban.com/subject/3993588/,6.9,"剧情,冒险",,,,2019-10-09 07:05:30,2015 / 中国大陆 法国 / 剧情 冒险 / 让-雅克·阿诺 / 冯绍峰 窦骁
25958704,超新约全书,,https://dou.img.lithub.cc/movie/25958704.jpg,2015-05-17(戛纳电影节),https://movie.douban.com/subject/25958704/,7.8,"喜剧,奇幻",,,,2019-10-09 07:05:26,2015 / 比利时 法国 卢森堡 / 喜剧 奇幻 / 雅克·范·多梅尔 / 伯努瓦·波尔沃德 凯瑟琳·德纳芙
4881607,撒娇女人最好命,,https://dou.img.lithub.cc/movie/4881607.jpg,2014-11-28(中国大陆),https://movie.douban.com/subject/4881607/,5.6,"喜剧,爱情",,,,2019-10-09 07:05:51,2014 / 中国大陆 中国香港 / 喜剧 爱情 / 彭浩翔 / 周迅 黄晓明
3993588,狼图腾,,https://dou.img.lithub.cc/movie/3993588.jpg,2015-02-19(中国大陆),https://movie.douban.com/subject/3993588/,6.9,"剧情,冒险",,,,2019-10-09 07:05:30,2015 / 中国大陆 法国 / 剧情 冒险 / 让-雅克·阿诺 / 冯绍峰 窦骁
25958704,超新约全书,,https://dou.img.lithub.cc/movie/25958704.jpg,2015-05-17(戛纳电影节),https://movie.douban.com/subject/25958704/,7.8,"喜剧,奇幻",,,,2019-10-09 07:05:26,2015 / 比利时 法国 卢森堡 / 喜剧 奇幻 / 雅克·范·多梅尔 / 伯努瓦·波尔沃德 凯瑟琳·德纳芙
